No.overall,No. inseries,Title,Incident,Original release date,Description
134,4,"""Deadly Detail""",China Airlines Flight 120,28 June 2016 (2016-06-28),"On 20 August 2007, China Airlines Flight 120 catches fire and explodes after landing and taxiing to the gate area at Naha Airport in Okinawa, Japan. However, all 165 people on board survive. The incident was attributed to a fuel leak caused by a bolt from the aircraft's right wing slat puncturing the right wing fuel tank.


Type of aircraft: Boeing 737-800"
135,5,"""Deadly Detour""",Proteus Airlines Flight 706,5 July 2016 (2016-07-05),"On 30 July 1998, Proteus Airlines Flight 706 collides with a light aircraft during a detour over an ocean liner and crashes into Quiberon Bay off the coast of Lorient, France. All 15 occupants on board the two aircraft die. The crew of the Beechcraft did not use the See and Avoid concept when they were operating under visual flight rules, and the pilot of the Cardinal had failed to turn on his aircraft's transponder, effectively making the aircraft invisible to radar systems on the ground.


Type of aircraft: Flight 706: Beechcraft 1900D; light aircraft: Cessna 177 Cardinal"
136,6,"""Dangerous Approach""",Trans-Colorado Airlines Flight 2286,12 July 2016 (2016-07-12),"On 19 January 1988, Trans-Colorado Airlines Flight 2286, operating for Continental Express, crashes near Bayfield, Colorado, during final approach to Durango. Both crew members and seven of the fifteen passengers on board died in the accident.


Type of aircraft: Fairchild SA227-AC Metro III"
137,7,"""Murder in the Skies""",Germanwings Flight 9525,23 January 2017 (2017-01-23),"On 24 March 2015, Germanwings Flight 9525 enters a high-speed descent and crashes into the French Alps during a flight from Barcelona, Spain, to Düsseldorf, Germany. All 150 people on board are killed. The investigation concluded that the crash was caused by an act of murder-suicide by the co-pilot.


Type of aircraft: Airbus A320-200"
138,8,"""River Runway""",Garuda Indonesia Flight 421,30 January 2017 (2017-01-30),"On 16 January 2002, on final approach to Yogyakarta at the end of a routine domestic flight from Ampenan, Garuda Indonesia Flight 421 suffers a double engine flameout while flying through a severe thunderstorm and ditches in the Bengawan Solo River. 59 of the 60 people on board survive.


Type of aircraft: Boeing 737-300"
139,9,"""Deadly Solution""",Indonesia AirAsia Flight 8501,6 February 2017 (2017-02-06),"On 28 December 2014, Indonesia AirAsia Flight 8501 stalls and crashes into the Java Sea while flying through a thunderstorm, killing all 155 passengers and 7 crew members on board. The causes of the crash were a malfunction of the aircraft's rudder travel limiter unit and an inappropriate response by the pilots.


Type of aircraft: Airbus A320-200"
140,10,"""Afghan Nightmare""",National Airlines Flight 102,13 February 2017 (2017-02-13),"On 29 April 2013, National Airlines Flight 102 stalls and crashes into the ground just seconds after taking off from Bagram Airfield in Afghanistan, killing all seven crew members on board. The investigation determined that a vehicle in the aircraft's cargo bay had shifted, causing the loss of control.


Type of aircraft: Boeing 747-400BCF"
141,1,"""Killer Attitude""",Northwest Airlink Flight 5719,20 February 2017 (2017-02-20),"On 1 December 1993, Northwest Airlink Flight 5719 crashes into a hillside while on final approach to  Chisholm-Hibbing Airport in Hibbing, Minnesota. All 16 passengers and 2 crew members on board are killed in the crash.


Type of aircraft: Jetstream 31"
142,2,"""Deadly Myth""",Comair Flight 3272,27 February 2017 (2017-02-27),"On 9 January 1997, Comair Flight 3272 spirals out of control and crashes nose-first while on final approach to Detroit Metropolitan Airport. All 29 passengers and crew members on board are killed. The investigation concluded that ice had built up on the aircraft's wings, causing the loss of control.


Type of aircraft: Embraer EMB 120 Brasilia"
143,3,"""Turning Point""",Air China Flight 129,6 March 2017 (2017-03-06),"On 15 April 2002, Air China Flight 129 crashes into the side of a mountain while circling to land at Gimhae International Airport in Busan, South Korea, during inclement weather. 129 of the 166 passengers and crew members on board are killed in the crash.


Type of aircraft: Boeing 767-200ER"
144,4,"""Explosive Proof""",TWA Flight 800,13 March 2017 (2017-03-13),"On 17 July 1996, Trans World Airlines (TWA) Flight 800 explodes in mid-air, breaks up, and crashes into the Atlantic Ocean while en route from John F. Kennedy International Airport to Paris-Charles de Gaulle Airport. All 230 passengers and crew members on board are killed. 


Type of aircraft: Boeing 747-100"
145,5,"""Lethal Turn""",Garuda Indonesia Flight 152,5 September 2017 (2017-09-05),"On 26 September 1997, Garuda Indonesia Flight 152 crashes into mountainous woodlands while trying to land at Polonia International Airport in Medan, North Sumatra, in low visibility. All 234 people on board are killed. The investigation determined that the aircraft turned the wrong way during the approach due to a miscommunication between the pilots and air traffic control. 


Type of aircraft: Airbus A300B4-200"
146,6,"""Storming Out""",USAir Flight 1016,12 September 2017 (2017-09-12),"On 2 July 1994, USAir Flight 1016 crashes into a residential area while attempting to land at Charlotte Douglas International Airport during a thunderstorm, killing 37 of the 57 people on board. The investigation concluded that the aircraft encountered microburst-induced wind shear while the captain suffered somatogravic illusion, prompting the first officer to push the nose down and causing the crash.


Type of aircraft: McDonnell Douglas DC-9-31"
147,7,"""Caught on Tape""",TransAsia Airways Flight 235,19 September 2017 (2017-09-19),"On 4 February 2015, TransAsia Airways Flight 235 strikes a viaduct and crashes into the Keelung River shortly after takeoff from Taipei Songshan Airport, killing 43 of the 58 people on board. The causes of the crash were a malfunction of the number two engine and the pilots shutting down the wrong engine.


Type of aircraft: ATR 72-600"
148,8,"""Terror over Egypt""",Metrojet Flight 9268,18 September 2017 (2017-09-18),"On 31 October 2015, Metrojet Flight 9268 disintegrates in mid-air and crashes into the Sinai Peninsula during a routine chartered flight from Sharm El Sheikh International Airport to Pulkovo Airport, killing all 224 people on board.


Type of aircraft: Airbus A321-200"
149,9,"""Deadly Discussions""",LAPA Flight 3142,3 October 2017 (2017-10-03),"On 31 August 1999, LAPA Flight 3142 overruns the runway and crashes while taking off from Aeroparque Jorge Newbery in Buenos Aires, Argentina, killing 63 of the 100 people on board and 2 on the ground. The investigation determined that the pilots forgot to extend the aircraft's flaps and slats for takeoff.


Type of aircraft: Boeing 737-200C"
150,10,"""The Lost Plane""",Thai Airways International Flight 311,2 October 2017 (2017-10-02),"On 31 July 1992, Thai Airways International Flight 311 crashes into a mountain while on final approach to Tribhuvan International Airport in Kathmandu, Nepal, in poor weather conditions, killing all 99 passengers and 14 crew members on board. 


Type of aircraft: Airbus A310-300"
151,1,"""Nuts and Bolts""",Emery Worldwide Airlines Flight 17,13 February 2018 (2018-02-13),"On 16 February 2000, Emery Worldwide Airlines Flight 17 crashes into an automobile salvage yard shortly after taking off from Sacramento Mather Airport on a flight to Dayton, Ohio, killing all 3 crew members on board. The cause of the crash was a disconnection of the right elevator control tab. 


Type of aircraft: Douglas DC-8-71F"
152,2,"""Blown Away""",TransAsia Airways Flight 222,20 February 2018 (2018-02-20),"On 23 July 2014, TransAsia Airways Flight 222 crashes into the village of Xixi while attempting to land at Magong Airport during inclement weather and low visibility, killing 48 of the 58 people on board and injuring 5 people in the village. The investigation found that the pilots intentionally descended below the minimum descent altitude.


Type of aircraft: ATR 72-500"
153,3,"""Deadly Distraction""",Delta Air Lines Flight 1141,27 February 2018 (2018-02-27),"On 31 August 1988, Delta Air Lines Flight 1141 crashes beyond the runway while taking off from Dallas/Fort Worth International Airport, killing 14 of the 108 people on board. The subsequent investigation determined that the pilots forgot to extend the aircraft's flaps and slats for takeoff.


Type of aircraft: Boeing 727-200 Advanced"
154,4,"""Deadly Airspace""",Malaysia Airlines Flight 17,15 February 2018 (2018-02-15),"On 17 July 2014, Malaysia Airlines Flight 17 disintegrates in mid-air over Hrabove in Donetsk Oblast, Ukraine, and crashes while en route from Amsterdam to Kuala Lumpur, killing all 283 passengers and 15 crew members on board. The subsequent investigation concluded that a Buk surface-to-air missile launched by pro-Russian rebels taking part in the war in Donbas caused the in-flight break-up.


Type of aircraft: Boeing 777-200ER"
155,5,"""Deadly Display""",2012 Mount Salak Sukhoi Superjet crash,15 March 2018 (2018-03-15),"On 9 May 2012, an aircraft on a demonstration tour crashes into Mount Salak in the province of West Java. All 45 people on board are killed. The investigation concluded that the pilots were unaware of the presence of high ground in the area and ignored warnings from the terrain warning system. 


Type of aircraft: Sukhoi Superjet 100"
156,6,"""Deadly Mission""",VSS Enterprise crash,22 March 2018 (2018-03-22),"On 31 October 2014, an experimental spaceflight test vehicle named VSS Enterprise suffers a catastrophic in-flight breakup and crashes into the Mojave Desert in California, United States, while performing a test flight. The co-pilot, Michael Alsbury, is killed; the pilot, Peter Siebold, is seriously injured, but manages to parachute to safety.


Type of aircraft: Scaled Composites Model 339 SpaceShipTwo"
157,7,"""Free Fall""",Qantas Flight 72,15 June 2018 (2018-06-15),"On 7 October 2008, Qantas Flight 72 suffers a pair of sudden uncommanded pitch-down manoeuvres during a flight from Singapore Changi Airport to Perth Airport, injuring 119 of the 315 people on board. The aircraft makes an emergency landing at Learmonth Airport near Exmouth, Western Australia, with no fatalities. 


Type of aircraft: Airbus A330-300"
158,8,"""Deadly Inclination""",Alitalia Flight 404,22 June 2018 (2018-06-22),"On 14 November 1990, Alitalia Flight 404 descends too low and crashes into the woodlands of the Stadlerberg Mountain near Weiach, Switzerland, 5.2 nautical miles (9.6 kilometres) short of the runway during final approach to Zurich Airport. All 46 passengers and crew members on board are killed.


Type of aircraft: McDonnell Douglas DC-9-32"
159,9,"""Deadly Go-Round""",China Airlines Flight 140,27 June 2018 (2018-06-27),"On 26 April 1994, China Airlines Flight 140 pitches upwards, enters an aerodynamic stall at low altitude and crashes approximately 340 feet east-northeast of the centreline of the runway while on final approach to Nagoya Airport in Nagoya, Japan. 264 of the 271 people on board are killed in the crash.


Type of aircraft: Airbus A300B4-600R"
160,10,"""Dead of Winter""",Continental Airlines Flight 1713,4 July 2018 (2018-07-04),"On 15 November 1987, Continental Airlines Flight 1713 stalls and crashes off the right side of the runway shortly after taking off in a snowstorm from Stapleton International Airport in Denver, Colorado, on a scheduled flight to Boise, Idaho, killing 28 of the 82 people on board.


Type of aircraft: McDonnell Douglas DC-9-14"
161,1,"""Deadly Descent""",Cathay Pacific Flight 780,2 January 2019 (2019-01-02),"On 13 April 2010, Cathay Pacific Flight 780 suffers a dual engine failure while nearing Hong Kong International Airport at the end of a flight from Juanda International Airport, Indonesia. The aircraft makes an emergency landing at almost twice the speed of a normal landing. All 322 people on board survive. 


Type of aircraft: Airbus A330-300"
162,2,"""Death Race""",2011 Reno Air Races crash,7 January 2019 (2019-01-07),"On 16 September 2011, a vintage fighter aircraft named The Galloping Ghost crashes into spectators during the Reno Air Races, killing the pilot, Jimmy Leeward, and 10 people on the ground. The cause of the crash were reused single-use locknuts in the left elevator trim tab system that loosened, causing that trim tab to break off.


Type of aircraft: North American P-51 Mustang"
163,3,"""Fatal Approach""",KLM Cityhopper Flight 433,16 January 2019 (2019-01-16),"On 4 April 1994, KLM Cityhopper Flight 433 crashes into a field while attempting an emergency landing at Amsterdam Schiphol Airport, killing 3 of the 24 people on board. The cause of the crash was the pilots' inadequate use of the flight controls during an asymmetric go-around.


Type of aircraft: Saab 340B"
164,4,"""Borderline Tactics""",American International Airways Flight 808,14 January 2019 (2019-01-14),"On 18 August 1993, American International Airways Flight 808 stalls while banking to the right and crashes into the ground 1 quarter of a mile short of the runway while manoeuvring onto final approach to Leeward Point Field in Guantánamo Bay, Cuba. All 3 crew members on board survive. This is the first aviation accident where pilot fatigue was cited as a probable cause.


Type of aircraft: Douglas DC-8-61F"
165,5,"""Deadly Pitch""",Fine Air Flight 101,21 January 2019 (2019-01-21),"On 7 August 1997, Fine Air Flight 101 stalls and crashes just seconds after taking off from Miami International Airport, killing all 4 people on board and 1 person on the ground. The causes of the crash were an improper loading of cargo and the pilots selecting an incorrect stabilizer trim setting.


Type of aircraft: Douglas DC-8-61F"
166,6,"""Fatal Climb""",TAROM Flight 371,28 January 2019 (2019-01-28),"On 31 March 1995, TAROM Flight 371 banks steeply to the left and crashes into a field shortly after taking off from Otopeni International Airport, killing all 60 people on board. The throttle of the port engine had returned to idle in-flight while the captain simultaneously became incapacitated, possibly due to a heart attack.


Type of aircraft: Airbus A310-300"
167,7,"""Runway Runoff""",Continental Airlines Flight 1404,11 February 2019 (2019-02-11),"On 20 December 2008, Continental Airlines Flight 1404 veers off the side of the runway, skids across the taxiway and a service road and crashes into a ravine while taking off from Denver International Airport in Denver, Colorado. All 115 passengers and crew members on board survive.


Type of aircraft: Boeing 737-500"
168,8,"""Lethal Limits""",Aeroflot Flight 821,18 February 2019 (2019-02-18),"On 14 September 2008, Aeroflot-Nord Flight 821 crashes into a ravine next to a railway line while on final approach to Perm International Airport in Perm, Russia, in poor weather conditions, killing all 88 people on board. The investigation concluded that the pilots suffered spatial disorientation.


Type of aircraft: Boeing 737-500"
169,9,"""Football Tragedy""",LaMia Flight 2933,4 March 2019 (2019-03-04),"On 28 November 2016, LaMia Flight 2933, carrying the Brazilian Chapecoense soccer squad, runs out of fuel and crashes into the side of a mountain after entering a holding pattern to land at José María Córdova International Airport in Rionegro, Colombia. 71 of the 77 people on board are killed.


Type of aircraft: Avro RJ85"
170,10,"""Slam Dunk""",United Express Flight 6291,11 March 2019 (2019-03-11),"On 7 January 1994, United Express Flight 6291, operating for Atlantic Coast Airlines, crashes 1.2 miles short of the runway during final approach to Port Columbus International Airport after entering a stall. The two pilots, the flight attendant, and two of the five passengers are killed in the crash. 


Type of aircraft: British Aerospace Jetstream 41"
171,1,"""Kathmandu Descent""",Pakistan International Airlines Flight 268,23 January 2020 (2020-01-23),"On 28 September 1992, Pakistan International Airlines Flight 268 crashes into a mountainside while on approach to Tribhuvan International Airport in Kathmandu, Nepal, killing all 167 people on board. The pilots had begun the descent too early after misreading the approach chart.


Type of aircraft: Airbus A300B4-200"
172,2,"""Impossible Pitch""",West Air Sweden Flight 294,13 February 2020 (2020-02-13),"On 8 January 2016, West Air Sweden Flight 294 crashes near Lake Akkajaure in Sweden during a cargo flight from Oslo to Tromsø, Norway, killing both crew members. A malfunction in an inertial reference unit produced erroneous attitude indications and mislead the crew into a dive.


Type of aircraft: Bombardier CRJ200"
173,3,"""Explosive Touchdown""",Uni Air Flight 873,9 January 2020 (2020-01-09),"On 24 August 1999, Uni Air Flight 873 suffers an explosion in the cabin while landing at Hualien Airport, killing one passenger. It was determined that bleach bottles filled with gasoline, which were being transported by a passenger on the domestic flight, leaked inside the overhead bins, and were ignited by a nearby motorcycle battery.


Type of aircraft: McDonnell Douglas MD-90-30"
174,4,"""Taxiway Turmoil""",1990 Wayne County Airport runway collision,16 January 2020 (2020-01-16),"On 3 December 1990, two Northwest Airlines jets collide in heavy fog at Detroit Metropolitan Wayne County Airport after Flight 1482 mistakenly turns on to an active runway while Flight 299 is taking off. 8 of the 44 people on board Flight 1482 are killed; all 154 people on board Flight 299 survive.


Type of aircraft: Flight 1482: McDonnell Douglas DC-9-14; Flight 299: Boeing 727-200 Advanced"
175,5,"""Runway Breakup""",AIRES Flight 8250,12 March 2020 (2020-03-12),"On 16 August 2010, AIRES Flight 8250 crashes short of the runway while landing at Gustavo Rojas Pinilla International Airport in San Andrés, Colombia, killing 2 of the 131 people on board. A black hole approach illusion had led the pilots to believe the aircraft was higher than it actually was.


Type of aircraft: Boeing 737-700"
176,6,"""Icy Descent""",Sol Líneas Aéreas Flight 5428,30 January 2020 (2020-01-30),"On 18 May 2011, Sol Líneas Aéreas Flight 5428 stalls and crashes in Río Negro en route from Neuquén to Comodoro Rivadavia, Argentina, killing all 22 people on board. The cause of the crash was the pilots' failure to maintain airspeed while flying through severe icing conditions.


Type of aircraft: Saab 340A"
177,7,"""Atlantic Ditching""",Cougar Helicopters Flight 91,6 February 2020 (2020-02-06),"On 12 March 2009, Cougar Helicopters Flight 91 suffers an oil leak in the main gearbox while transporting oil rig workers from St. John's, Newfoundland. The helicopter ditches in the Atlantic Ocean during an attempt to return to land, killing all but one of the 18 people on board.


Type of aircraft: Sikorsky S-92A"
178,8,"""No Warning""",Trigana Air Flight 267,20 February 2020 (2020-02-20),"On 16 August 2015, Trigana Air Flight 267 crashes into a mountainside while nearing its destination of Oksibil Airport in Papua, Indonesia, killing all 54 people on board. The pilots had intentionally deviated from the standard flight path and deactivated the ground proximity warning system.


Type of aircraft: ATR 42-300"
179,9,"""Cockpit Killer""",LAM Mozambique Airlines Flight 470,27 February 2020 (2020-02-27),"On 29 November 2013, LAM Mozambique Airlines Flight 470 enters a rapid descent into Namibia's Bwabwata National Park halfway from Maputo, Mozambique, to Luanda, Angola, killing all 33 people on board. The investigation concluded that the captain deliberately crashed the aircraft.


Type of aircraft: Embraer E190"
180,10,"""Stormy Cockpit""",Kenya Airways Flight 507,5 March 2020 (2020-03-05),"On 5 May 2007, Kenya Airways Flight 507 crashes during a thunderstorm shortly after takeoff from Douala International Airport in Cameroon, killing all 114 people on board. The pilots suffered spatial disorientation after their failure to engage the autopilot resulted in an excessive bank.


Type of aircraft: Boeing 737-800"
181,1,"""North Sea Nightmare""",Loganair Flight 6780,4 April 2021 (2021-04-04),"On 15 December 2014, Loganair Flight 6780 starts an uncontrolled descent while on approach to Sumburgh Airport in Scotland. The pilots regain control and make an emergency landing at Aberdeen, with no fatalities. After a lightning strike, the pilots wrongly assumed the autopilot was disengaged and tried to climb. The conflict caused the autopilot to set the elevator controls into a dive.


Type of aircraft: Saab 2000"
182,2,"""Playing Catch Up""",Execuflight Flight 1526,11 April 2021 (2021-04-11),"On 10 November 2015, ExecuFlight Flight 1526 enters an aerodynamic stall and crashes into an apartment building and an embankment during final approach to Akron Fulton International Airport in Akron, Ohio. Both crew members and all seven passengers on board are killed in the crash.


Type of aircraft: British Aerospace BAe-125"
183,3,"""Tragic Takeoff""",Comair Flight 5191,18 April 2021 (2021-04-18),"On 27 August 2006, Comair Flight 5191, operating for Delta Connection, crashes into a wooded area while taking off from Blue Grass Airport in Kentucky, killing all but the first officer on board. The pilots lost situational awareness and inadvertently taxied onto the wrong runway.


Type of aircraft: Bombardier CRJ-100ER"
184,4,"""Grounded: Boeing Max 8""",Lion Air Flight 610,5 April 2021 (2021-04-05),"On 29 October 2018, Lion Air Flight 610 enters a nosedive and crashes into the Java Sea shortly after taking off from Soekarno–Hatta International Airport in Jakarta, Indonesia, on a flight to Pangkal Pinang. All 181 passengers and 8 crew members on board are killed in the crash. 


Type of aircraft: Boeing 737 MAX 8"
185,5,"""Cabin Catastrophe""",Southwest Airlines Flight 1380,12 April 2021 (2021-04-12),"On 17 April 2018, the left engine of Southwest Airlines Flight 1380 explodes, causing explosive depressurization and forcing the pilots to make an emergency landing at Philadelphia International Airport. A passenger dies after being partially ejected from the aircraft. The investigation traced the engine failure to a fatigue crack in a fan blade. 


Type of aircraft: Boeing 737-700"
186,6,"""Meltdown Over Kathmandu""",US-Bangla Airlines Flight 211,26 April 2021 (2021-04-26),"On 12 March 2018, US-Bangla Airlines Flight 211 skids off the runway, travels through the airport perimeter fence, and crashes into a soccer field during landing at Tribhuvan International Airport in Kathmandu, Nepal. 51 of the 71 people on board are killed in the accident. 


Type of aircraft: Bombardier Dash 8-Q400"
187,7,"""Mission Disaster""",1991 Gulf War Boeing KC-135 accident,16 May 2021 (2021-05-16),"On 6 February 1991, a military aerial refueling aircraft loses both engines from under the left wing while on a combat mission in Saudi Arabia during the Gulf War, forcing the pilots to make an emergency landing. The accident was attributed to severe wake turbulence from a passing KC-135. 


Type of aircraft: Boeing KC-135 Stratotanker"
188,8,"""Caught in a Jam""",Ansett New Zealand Flight 703,23 May 2021 (2021-05-23),"On 9 June 1995, Ansett New Zealand Flight 703 suffers a landing gear malfunction during final approach to Palmerston North Airport in New Zealand. The aircraft descends until it crashes into hilly terrain as the pilots try to resolve the problem. 4 of the 21 people on board are killed. 


Type of aircraft: de Havilland Canada DHC-8-102"
189,9,"""Seconds From Touchdown""",Propair Flight 420,30 May 2021 (2021-05-30),"On 18 June 1998, Propair Flight 420 crashes while attempting to conduct an emergency landing at Montréal–Mirabel International Airport after an in-flight fire causes its left wing to fail, killing all 11 people on board. It was later determined that the aircraft's left brakes overheated during takeoff.


Type of aircraft: Fairchild Metroliner SA226"
190,10,"""Deadly Delivery""",UPS Airlines Flight 1354,6 June 2021 (2021-06-06),"On 14 August 2013, UPS Airlines Flight 1354 clips the tops of trees and crashes into a hillside about one nautical mile short of the runway during final approach to Birmingham–Shuttlesworth International Airport in Alabama. Both crew members on board are killed in the crash. 


Type of aircraft: Airbus A300F4-600R"
191,1,"""Holding Pattern""",Flydubai Flight 981,17 January 2022 (2022-01-17),"On 19 March 2016, Flydubai Flight 981 enters a rapid descent and crashes nose-first at Rostov-on-Don Airport in Rostov-on-Don, Russia, after aborting its second landing attempt in poor weather conditions. All 55 passengers and 7 crew members on board are killed. 


Type of aircraft: Boeing 737-800"
192,2,"""Peril over Portugal""",Martinair Flight 495,24 January 2022 (2022-01-24),"On 21 December 1992, Martinair Flight 495 crashes off the right side of the runway while attempting to land at Faro Airport in Faro, Portugal, in severe weather conditions, killing 56 of the 340 people on board. The accident was caused by microburst-induced wind shear in combination with pilot error.


Type of aircraft: McDonnell Douglas DC-10-30CF"
193,3,"""Stealth Bomber Down""",2008 Andersen Air Force Base B-2 accident,17 January 2022 (2022-01-17),"On 23 February 2008, a stealth bomber of the United States Air Force named the Spirit of Kansas enters a stall and crashes on the runway just moments after takeoff from Andersen Air Force Base in Guam. Both crew members survive after successfully ejecting from the aircraft.


Type of aircraft: Northrop Grumman B-2 Spirit"
194,4,"""Double Trouble""",Trans-Air Service Flight 671,22 January 2022 (2022-01-22),"On 31 March 1992, Trans-Air Service Flight 671 suffers an in-flight separation of its two right engines while en route to Kano, Nigeria, forcing the pilots to make an emergency landing at Istres-Le Tubé Air Base in France. The number three engine detached due to metal fatigue and tore off the number four engine. 


Type of aircraft: Boeing 707-320C"
195,5,"""Pacific Plunge""",Alaska Airlines Flight 261,3 January 2022 (2022-01-03),"On 31 January 2000, Alaska Airlines Flight 261's trimmable horizontal stabilizer jams and breaks from its control system during a flight to San Francisco. The aircraft enters a dive and crashes inverted into the Pacific Ocean. All 88 passengers and crew members on board are killed.
Note: This accident was previously featured in the episode ""Cutting Corners"" (S01E05) and as a special in the episode ""Fatal Flaw"" (S06E02).


Type of aircraft: McDonnell Douglas MD-83"
196,6,"""Terror over Michigan""",TWA Flight 841 (1979),10 January 2022 (2022-01-10),"On 4 April 1979, Trans World Airlines (TWA) Flight 841 enters a spiral dive while en route to Minnesota. The pilots regain control and make an emergency landing at Detroit, with no fatalities. A leading-edge slat had failed due to the pilots extending the flaps and slats at cruising speed.


Type of aircraft: Boeing 727-31"
197,7,"""Tree Strike Terror""",American Airlines Flight 1572,5 February 2022 (2022-02-05),"On 12 November 1995, American Airlines Flight 1572 clips the tops of trees along Peak Mountain Ridge and strikes instrument landing system equipment on landing at Bradley International Airport in Windsor Locks, Connecticut. All 78 people on board survive, with one passenger sustaining a minor injury. 


Type of aircraft: McDonnell Douglas MD-83"
198,8,"""Pitch Black""",Air Illinois Flight 710,5 February 2022 (2022-02-05),"On 11 October 1983, Air Illinois Flight 710 crashes into an open pasture area near Pinckneyville, Illinois, in poor weather while en route to Southern Illinois Airport, killing all 10 people on board. The cause of the crash was the pilots' mismanagement of an electrical problem. 


Type of aircraft: Hawker Siddeley HS 748"
199,9,"""Turboprop Terror""",Flagship Airlines Flight 3379,12 February 2022 (2022-02-12),"On 13 December 1994, Flagship Airlines Flight 3379, operating for American Eagle, enters an aerodynamic stall and crashes into a wooded area during a missed approach to Raleigh–Durham International Airport in North Carolina. The 2 pilots and 13 of the 18 passengers are killed. 


Type of aircraft: Jetstream 32"
200,10,"""Loss of a Legend""",2020 Calabasas helicopter crash,12 February 2022 (2022-02-12),"On 26 January 2020, a helicopter carrying basketball player Kobe Bryant, his daughter Gianna, and seven other people crashes into hilly terrain near Calabasas, California, killing all 9 people on board. The pilot had violated visual flight rules and suffered spatial disorientation. 


Type of aircraft: Sikorsky S-76B"
201,1,"""Deadly Exchange""",Corporate Airlines Flight 5966,3 January 2023 (2023-01-03),"On 19 October 2004, Corporate Airlines Flight 5966, operating for AmericanConnection, crashes short of the runway while on approach to Kirksville Regional Airport in Missouri, killing 13 of the 15 people on board. The pilots had descended below the minimum safe altitude under the effects of fatigue.


Type of aircraft: British Aerospace Jetstream 32"
202,2,"""Mixed Signals""",Independent Air Flight 1851,10 January 2023 (2023-01-10),"On 8 February 1989, Independent Air Flight 1851 crashes into the Pico Alto mountain while on approach to Santa Maria Airport in the Azores, killing all 144 occupants. The crash was caused by the pilots' non-observance to established operating procedures and wrong data from air traffic control.


Type of aircraft: Boeing 707-330B"
203,3,"""Pressure Point""",Japan Air Lines Flight 123,17 January 2023 (2023-01-17),"On 12 August 1985, Japan Air Lines Flight 123's aft pressure bulkhead bursts open, destroying the vertical stabilizer and severing all 4 of the aircraft's hydraulic systems. The crew keep the aircraft flying for 32 minutes until it crashes into Mount Takamagahara. 520 of the 524 people on board are killed.
Note: This accident was previously featured in the episode ""Out of Control"" (S03E03) and as a special in the episode ""Fatal Flaw"" (S06E02).


Type of aircraft: Boeing 747SR"
204,4,"""Power Play""",Airlines PNG Flight 1600,24 January 2023 (2023-01-24),"On 13 October 2011, Airlines PNG Flight 1600 loses engine power and crash-lands in a densely forested area near the mouth of the Guabe River in Madang Province, Papua New Guinea. Only 4 of the 32 passengers and crew members on board survive the crash.


Type of aircraft: de Havilland Canada DHC-8-102"
205,5,"""Control Catastrophe""",Air Astana Flight 1388,31 January 2023 (2023-01-31),"On 11 November 2018, Air Astana Flight 1388 makes an emergency landing at Beja Airbase in Portugal after suffering severe flight control issues, with no fatalities. The investigation found that the aileron cables were installed incorrectly, causing a reversal of aileron controls.


Type of aircraft: Embraer E190"
206,6,"""Cockpit Catastrophe""",Sichuan Airlines Flight 8633,7 February 2023 (2023-02-07),"On 14 May 2018, Sichuan Airlines Flight 8633 makes an emergency landing at Chengdu Shuangliu International Airport after suffering an explosion decompression. The co-pilot was partially sucked out, but all 128 people on board survive. The incident was caused by a cockpit windshield failing in-flight. 


Type of aircraft: Airbus A319-100"
207,7,"""Dream Flight Disaster""",2017 Sydney Seaplanes DHC-2 crash,14 February 2023 (2023-02-14),"On 31 December 2017, a light aircraft configured as a floatplane veers off course and crashes into Jerusalem Bay off Cowan Creek, on the northern outskirts of Sydney, Australia, shortly after take-off. All 6 people on board, including businessman Richard Cousins, are killed.


Type of aircraft: de Havilland Canada DHC-2 Beaver"
208,8,"""Deadly Deception""",Balkan Bulgarian Airlines Flight 013,21 February 2023 (2023-02-21),"On 7 March 1983, Balkan Bulgarian Airlines Flight 013 is hijacked by four men who demand the aircraft be diverted to Vienna, Austria, but the pilots fly the aircraft over the Black Sea in circles and land at Varna Airport. Commandos arrest three hijackers and kill one who threatens a flight attendant.


Type of aircraft: Antonov An-24B"
209,9,"""Delivery to Disaster""",Atlas Air Flight 3591,28 February 2023 (2023-02-28),"On 23 February 2019, Atlas Air Flight 3591 crashes into Trinity Bay while on final approach to George Bush Intercontinental Airport in Houston, Texas, killing all 3 people on board. The first officer suffered spatial disorientation after inadvertently activating the aircraft's go-around mode.


Type of aircraft: Boeing 767-300ER(BCF)"
210,10,"""Mystery over the Mediterranean""",EgyptAir Flight 804,7 March 2023 (2023-03-07),"On 19 May 2016, EgyptAir Flight 804 suffers an in-flight cockpit fire and crashes into the Mediterranean Sea during a flight from Charles de Gaulle Airport in Paris, France, to Cairo International Airport in Cairo, Egypt. All 66 people on board are killed in the crash.


Type of aircraft: Airbus A320-200"
211,1,"""Terror Over The Pacific""",United Airlines Flight 811,18 February 2024 (2024-02-18),"On 24 February 1989, United Airlines Flight 811's right-side fuselage partially rips off, ejecting nine people from the aircraft and causing an explosive decompression. The flight later lands safely at Honolulu without any more loss of life. It was later determined that an electrical short circuit caused the cargo door to open.
Note: This accident was previously featured in the episode ""Unlocking Disaster"" (S01E01) and as a special in the episode ""Ripped Apart"" (S06E01).


Type of aircraft: Boeing 747-100"
